Timestamp,日本在住ですか？,どのようなチームで働いていますか？,OpenTelemetryについてどの程度ご存知ですか？,OpenTelemetryで収集するテレメトリーシグナルはどれですか？（該当するものをすべて選択してください）,どのコレクターディストリビューションを使用していますか？（該当するものすべてを選択してください）,仕事でどのプログラミング言語を使用していますか？（該当するものをすべて選択してください）,同僚にOpenTelemetryを推薦する可能性はどのくらいありますか？,OpenTelemetryを使用しない主な理由は何ですか？（該当するものをすべて選択してください） ,日本のどの地域にお住まいですか？,過去3年間、どのようなITコミュニティイベントに参加しましたか？（該当するものをすべて選択してください）,どのような形式のイベントが好きですか？,テクノロジー全般に関する情報は、普段どこから得ていますか？（該当するものをすべて選択してください）,御社の社員数はどのくらいですか？,どの業界でお仕事されていますか？,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？,OpenTelemetryプロジェクトについて何かご意見はありますか？
12/17/2025 10:58:12,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,".NET, Go",5,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 書籍",1-49,IT,いいえ,実行時のパフォーマンス、アプリケーション性能への影響が気になる
12/17/2025 12:54:49,はい,DevOps,本番環境で使っている,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Javascript/Typescript, Python",7,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
12/17/2025 12:59:20,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,Go,5,,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"Twitter/X, 同僚／職場のコミュニティ",>1000,IT,いいえ,
12/17/2025 16:39:34,はい,開発,本番環境で使っている,"メトリクス, トレース",使っていない,"Go, Java, Javascript/Typescript",9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",>1000,IT,いいえ,
12/17/2025 23:14:44,はい,開発,本番環境で使っている,メトリクス,"コアコレクター, Contribコレクター",Go,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 書籍",>1000,IT,いいえ,
12/18/2025 9:05:17,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",https://github.com/GoogleCloudPlatform/opentelemetry-operations-go,"Go, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn",1-49,IT,いいえ,Logging については各種パブリッククラウドのプラットフォーム仕様に合わせた出力が求められるので、うまく統合されたライブラリの提供や、クラウド事業者との連携を図ってほしい
12/18/2025 12:50:06,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース",使っていない,"Go, Javascript/Typescript, Python",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/18/2025 14:00:56,はい,開発,本番環境で使っている,"メトリクス, ログ",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Javascript/Typescript, Python",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",1-49,IT,いいえ,
12/18/2025 16:18:34,はい,SRE,本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Java",8,,北海道,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, Twitter/X, 同僚／職場のコミュニティ",>1000,IT,いいえ,
12/19/2025 8:03:31,はい,セールスエンジニア,テスト中／評価中,"メトリクス, トレース","コアコレクター, Contribコレクター, ADOT","Javascript/Typescript, Python",8,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,"ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,はい,
12/24/2025 11:31:58,はい,SRE,本番環境で使っている,"トレース, プロファイル","コアコレクター, Contribコレクター","Go, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
12/25/2025 17:26:27,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,Javascript/Typescript,9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, 技術カンファレンス／ミートアップ",1-49,IT,いいえ,
12/26/2025 0:53:40,はい,プラットフォームエンジニア,本番環境で使っている,"メトリクス, ログ","コアコレクター, Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド",Go,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,はい,プラットフォームの運用をより良くしたいため、非常に興味のあるプロジェクトです
12/26/2025 9:50:59,はい,開発,本番環境で使っている,"メトリクス, トレース",Elastic Distribution of OpenTelemetry Collector,"Go, Java, Javascript/Typescript, Python, Scala",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,"初心者向けチュートリアル, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, 同僚／職場のコミュニティ, 書籍",>1000,IT,はい,是非とも盛り上がってほしい
1/8/2026 15:56:14,はい,プラットフォームエンジニア,テスト中／評価中,"メトリクス, ログ, トレース",わからない。,"Java, Javascript/Typescript",5,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",>1000,IT,いいえ,
1/9/2026 9:55:06,はい,DevOps,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",コアコレクター,"C++, Go, Javascript/Typescript, PHP, Python, Ruby",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,発展に期待してます！
1/10/2026 20:21:55,はい,セールスエンジニア,テスト中／評価中,"メトリクス, ログ, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Java, PHP, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",>1000,IT,はい,
1/11/2026 13:25:43,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,Python,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,"いつもありがとうございます。
LLMのOTelでふだん恩恵を受けていますし、恩恵を受ける人を増やしたり、受けられる恩恵の量を増やしたりすることに関心があります。
もっと盛り上げていきましょう！！"
1/15/2026 8:35:30,はい,SRE,聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 実施するための時間・リソース不足, 安定性の懸念",関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
1/15/2026 8:38:26,はい,SRE,本番環境で使っている,トレース,ADOT,"Javascript/Typescript, HCL",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"Twitter/X, Zenn",1-49,IT,いいえ,
1/15/2026 8:51:47,はい,開発,テスト中／評価中,"ログ, トレース",使っていない,"Javascript/Typescript, Python",7,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X",100-999,IT,いいえ,
1/15/2026 8:54:23,はい,開発,OpenTelemetryについてはまったく詳しくありません,,,,,,,,,,,,,
1/15/2026 9:01:45,はい,DevOps,聞いたことはあるけど、使ったことはない,,,,,小さなモノリシックアプリケーションでありクラウドマネージドのログ・メトリクス基盤で事足りるため,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
1/15/2026 9:13:57,はい,開発,本番環境で使っている,トレース,Datadog agentを使用している,"Java, Javascript/Typescript, Perl, Scala",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,いいえ,
1/15/2026 9:25:49,はい,DevOps,テスト中／評価中,メトリクス,コアコレクター,"Java, Javascript/Typescript, PHP",6,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 書籍",50-99,IT,いいえ,
1/15/2026 9:34:02,はい,その他,,,,,,,,,,,,,,
1/15/2026 10:11:56,はい,DevOps,本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Go, Javascript/Typescript, PHP",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",1-49,IT,いいえ,
1/15/2026 10:14:25,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Python",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 技術ディーブダイブ",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,自動車,いいえ,コントリビューシャンのために作成したPRのマージまでにかかるリードタイムを減らしたい
1/15/2026 11:08:03,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Rust",10,,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, 同僚／職場のコミュニティ",50-99,IT,いいえ,
1/15/2026 11:49:00,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",コアコレクター,"Javascript/Typescript, Ruby",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
1/15/2026 12:20:01,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,"Java, Javascript/Typescript, Kotlin",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ",50-99,IT,いいえ,
1/15/2026 12:23:26,はい,その他,,,,,,,,,,,,,,
1/15/2026 12:29:31,はい,SRE,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
1/15/2026 12:33:24,はい,その他,,,,,,,,,,,,,,
1/15/2026 12:40:30,はい,SRE,テスト中／評価中,トレース,Contribコレクター,Ruby,8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍",>1000,メディア,いいえ,
1/15/2026 12:55:14,はい,運用,聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 実施するための時間・リソース不足",関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, ネットワーキングイベント",対面イベント,"ブログ, Twitter/X, LinkedIn, Zenn, YouTube, 技術カンファレンス／ミートアップ",100-999,金融,いいえ,
1/15/2026 13:11:13,はい,運用,聞いたことはあるけど、使ったことはない,,,,,"実施するための時間・リソース不足, ビジネス価値が不明確, 技術的複雑性に関する懸念",関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, LinkedIn, 技術カンファレンス／ミートアップ",>1000,製造,いいえ,コミュニティ(ミートアップやカンファレンス)への貢献は、家庭などの都合で難しい面がありますが、日本語化のプロジェクトへの貢献には興味があります。
1/15/2026 13:16:54,はい,運用,テスト中／評価中,トレース,adot,PHP,6,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
1/15/2026 14:22:00,はい,プラットフォームエンジニア,テスト中／評価中,"メトリクス, ログ, トレース",splunk-otel-collector,"Go, Java, Javascript/Typescript",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,バーチャル（オンライン）イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
1/15/2026 15:14:07,はい,DevOps,テスト中／評価中,"メトリクス, トレース",使っていない,Java,5,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ",100-999,金融,いいえ,
1/15/2026 15:26:22,はい,開発,本番環境で使っている,"メトリクス, トレース",使っていない,Go,10,,中国（鳥取、島根、岡山、広島、山口）,"カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
1/15/2026 16:06:04,はい,開発,聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,中部（山梨、長野、新潟、富山、石川、福井、静岡、愛知、岐阜）,"初心者向けチュートリアル, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,金融,いいえ,
1/15/2026 16:11:22,はい,SRE,本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,Java,10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X",100-999,IT,いいえ,
1/15/2026 17:27:12,はい,開発,テスト中／評価中,"ログ, トレース",使っていない,Scala,6,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ",対面イベント,"公式ドキュメント, GitHub, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 書籍",100-999,IT,いいえ,
1/15/2026 18:17:50,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,Javascript/Typescript,10,,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,"カンファレンス, 技術ディーブダイブ",バーチャル（オンライン）イベント,"公式ドキュメント, Twitter/X, Zenn",1-49,IT,いいえ,
1/15/2026 18:18:10,はい,開発,聞いたことはあるけど、使ったことはない,,,,,"実施するための時間・リソース不足, ビジネス価値が不明確, 技術的複雑性に関する懸念",関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 書籍, 論文",1-49,IT,いいえ,
1/15/2026 18:21:12,はい,開発,本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,ヘルスケア,いいえ,特になし
1/15/2026 19:33:01,はい,SRE,テスト中／評価中,"メトリクス, ログ, トレース",grafana alloy,"Go, Javascript/Typescript, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍, Bluesky",1-49,IT,いいえ,
1/15/2026 22:15:46,はい,開発,テスト中／評価中,トレース,使っていない,"Go, PHP, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ハンズオンワークショップ, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 書籍",1-49,IT,はい,
1/15/2026 23:31:56,はい,オブザーバビリティ,テスト中／評価中,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド, Grafana Alloy","Go, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",>1000,IT,いいえ,"Stable を待ち望んでいます、というのと
弊社の特徴ですが、「ベンダー中立かつ、なんでもできる」が先行して、具体的な英
語の仕様を見る、コントリビュートをする文化がなく、頓挫したプロジェクトがあります
弊社の文化を変える活動をなんとかしています

メッセージとして、ドキュメント日本語化のプロジェクト、本当にありがとうございます！！"
1/16/2026 13:40:25,はい,SRE,聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,小売,いいえ,
1/17/2026 0:05:40,はい,開発,聞いたことはあるけど、使ったことはない,,,,,"既に他のオブザーバビリティソリューションを使っているため, 技術的複雑性に関する懸念",関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, 技術ディーブダイブ",対面イベント,"公式ドキュメント, GitHub, Twitter/X, Zenn, 書籍, ChatGPT Pro Pulse",1-49,IT,いいえ,
1/20/2026 17:49:56,はい,開発,本番環境で使っている,トレース,aws adot,"Go, PHP, Ruby",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Qiita, Zenn, 同僚／職場のコミュニティ, 書籍",100-999,ヘルスケア,いいえ,
