"Timestamp","Where in your Observability journey is your organization?","What languages are you using in your organization? (Select all that apply.)","What resources do you wish you had when getting started with OpenTelemetry? (Select all that apply.)","What technologies are you using when setting up your observability journey? (Select all that apply.)","What part of the project is most important to you in your OTel journey? [Traces Specification]","What part of the project is most important to you in your OTel journey? [Metrics Specification]","What part of the project is most important to you in your OTel journey? [Logs Specification]","What part of the project is most important to you in your OTel journey? [Sampling Specification]","What part of the project is most important to you in your OTel journey? [Profiling Specification]","What part of the project is most important to you in your OTel journey? [Instrumentation APIs & SDKs]","What part of the project is most important to you in your OTel journey? [Collector]","What part of the project is most important to you in your OTel journey? [Operator]","What part of the project is most important to you in your OTel journey? [OTel Demo]","What part of the project is most important to you in your OTel journey? [Semantic Conventions]","What part of the project is most important to you in your OTel journey? [Auto-Instrumentation]","What part of the project is most important to you in your OTel journey? [LLMs]","What part of the project is most important to you in your OTel journey? [eBPF]","What part of the project is most important to you in your OTel journey? [Standardized Query Language]","What part of the project is most important to you in your OTel journey? [Security]","What part of the project is most important to you in your OTel journey? [Mainframes]","Anything else you wish to share with us?"
"2024/04/16 6:19:18 AM AST","Intermediate - We are setting up an observability practice",".NET;Go;Java;Python","Comprehensive documentation;More people and money ","Kubernetes;Docker;Virtual Machines;Serverless","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not important","Very important","Very important","Not important","Not important","Very important","Very important","Not important","Some of the above will change within the next 12 months. LLMs for example is not something we are able to look at too closely right now with the current observability journey but our organisation is in parallel. I guess next year would be a good time to start looking at this in more detail"
"2024/04/16 7:01:23 AM AST","Intermediate - We are setting up an observability practice",".NET;Go;Java;JavaScript;Python","Comprehensive documentation;Detailed tutorials;Blogs;Videos;Reference implementations for instrumentation;Reference implementations for collector deployment;Case studies;presentations","Kubernetes;Virtual Machines;Serverless","Very important","Very important","Very important","Very important","Not important","Not important","Not important","Very important","Not important","Very important","Very important","Very important","Very important","Very important","Very important","Very important",""
"2024/04/16 8:34:04 AM AST","Beginner - Learning about observability / Have used monitoring tools","Go;JavaScript;PHP;NodeJS","Reference implementations for collector deployment;Case studies","Kubernetes","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Very important","Very important","Not applicable","Very important","Very important","Very important","Not applicable",""
"2024/04/16 3:01:12 PM AST","Expert - We have a well-established observability practice","C++;.NET;Go;Java;Python","Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker;Virtual Machines","Very important","Not important","Not important","Very important","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Not applicable","Not applicable","Very important","Very important","Not applicable","Not important",""
"2024/04/16 3:49:06 PM AST","Intermediate - We are setting up an observability practice",".NET;Java;JavaScript;Python","Comprehensive documentation;Detailed tutorials;Blogs;Case studies","Kubernetes;Docker;Virtual Machines;Serverless","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important",""
"2024/04/16 4:52:25 PM AST","Intermediate - We are setting up an observability practice","Swift;Haskell, Typescript, Kotlin","Comprehensive documentation;Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment","Docker;Virtual Machines","Very important","Not important","Not important","Very important","Not important","Very important","Very important","Not important","Not important","Very important","Very important","Not important","Not important","Not important","Very important","Not important",""
"2024/04/16 6:38:44 PM AST","Intermediate - We are setting up an observability practice","Go","Comprehensive documentation;Reference implementations for instrumentation;Case studies","Kubernetes","Very important","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Not applicable","Very important","Not applicable","Very important","Not applicable","Not applicable","Very important","Very important","Not applicable",""
"2024/04/17 12:46:01 AM AST","Beginner - Learning about observability / Have used monitoring tools","Go;PHP","Comprehensive documentation;Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker;Serverless","Very important","Not important","Not important","Very important","Very important","Very important","Very important","Very important","Not applicable","Not applicable","Very important","Not important","Not important","Not important","Very important","Not important",""
"2024/04/17 1:12:38 PM AST","Intermediate - We are setting up an observability practice","Go;Python;Julia","Videos;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker","Very important","Not applicable","Not applicable","Very important","Very important","Very important","Not applicable","Not important","Not important","Not applicable","Not important","Not important","Not important","Not important","Not important","Not important",""
"2024/04/17 1:48:14 PM AST","Expert - We have a well-established observability practice","Go;Java;JavaScript;Python","Blogs;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker;Virtual Machines","Very important","Very important","Very important","Not important","Not important","Not important","Very important","Not applicable","Not applicable","Not important","Not important","Not important","Not applicable","Not applicable","Not applicable","Not applicable",""
"2024/04/18 5:44:11 AM AST","Intermediate - We are setting up an observability practice","Python","Comprehensive documentation;Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment;Case studies","Kubernetes;Docker;Serverless","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Not applicable","Very important","Not applicable","Not applicable",""
"2024/04/18 11:13:14 AM AST","Intermediate - We are setting up an observability practice","Go;Java;Python","Detailed tutorials;Blogs;Videos;Case studies","Kubernetes;Virtual Machines","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Very important","Very important","Not important","Not important","Very important","Not applicable","Not applicable",""
"2024/04/18 4:14:13 PM AST","Intermediate - We are setting up an observability practice","Java;PHP","Comprehensive documentation;Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment","Docker","Very important","Not applicable","Very important","Not important","Not applicable","Very important","Very important","Not applicable","Not important","Not applicable","Very important","Not important","Not important","Very important","Not applicable","Not applicable","The ""random dice"" sample program is nice, but what could also be helpful would be a sample with 3-4 dependencies to show the true power of distributed tracing. I often use Otel-Collector with Grafana Tempo and Loki"
"2024/04/18 10:15:36 PM AST","Expert - We have a well-established observability practice","Go;JavaScript","Case studies","Kubernetes;Docker;Virtual Machines;Serverless","Very important","Very important","Not important","Very important","Not important","Very important","Very important","Not important","Not important","Very important","Not applicable","Not applicable","Not applicable","Not applicable","Very important","Not applicable",""
"2024/04/19 9:39:29 AM AST","Beginner - Learning about observability / Have used monitoring tools",".NET;Java;Python","Detailed tutorials;Blogs;Reference implementations for instrumentation","Kubernetes;Docker;Virtual Machines","Very important","Very important","Very important","Not important","Not important","Not important","Not important","Not important","Very important","Not important","Not important","Very important","Not important","Not important","Very important","Not important",""
"2024/04/20 8:32:59 PM AST","Expert - We have a well-established observability practice","C++;Erlang/Elixir;Go;Java;JavaScript;Python","Comprehensive documentation;Detailed tutorials;Blogs;Videos;Reference implementations for instrumentation;Reference implementations for collector deployment;Case studies","Kubernetes","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not important","No proper open source O11y database for storing all 4 signals with a License like Apache 2."
"2024/04/22 8:47:29 AM AST","Expert - We have a well-established observability practice",".NET;Java;JavaScript","Comprehensive documentation;Detailed tutorials;Videos","Kubernetes;Docker;Bare Metal","Very important","Very important","Very important","Not important","Not important","Very important","Very important","Very important","Very important","Not important","Not important","Not important","Not important","Very important","Very important","Not important",""
"2024/04/22 1:09:04 PM AST","Intermediate - We are setting up an observability practice",".NET;JavaScript;Python","Comprehensive documentation;Reference implementations for instrumentation;Reference implementations for collector deployment;reference implementation that are updated periodically","Kubernetes;Docker","Very important","Very important","Not applicable","Very important","Not applicable","Very important","Very important","Not applicable","Not applicable","Very important","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",""
"2024/04/23 1:00:45 AM AST","Expert - We have a well-established observability practice","Go;Java","Comprehensive documentation;Detailed tutorials;Reference implementations for collector deployment","Kubernetes;Virtual Machines;HashiCorp Nomad","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Not important","Not important","Very important","Not important","Not applicable","Not important","Very important","Not important","Looking forward to using golang OTEL log shipping "
"2024/04/23 6:41:56 AM AST","Expert - We have a well-established observability practice","Go;Java;JavaScript;PHP;Python;Rust","Detailed tutorials","Docker;Bare Metal;Serverless","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Not important","Not applicable","Not applicable","Very important","Not important","Not applicable","Very important","Very important","Not applicable","Not important",""
"2024/04/23 7:40:45 AM AST","Beginner - Learning about observability / Have used monitoring tools","Go;Java;Python","Comprehensive documentation;Detailed tutorials;Blogs;Videos;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not important","Not important","Not important","Very important","Very important","Very important","Not important",""
"2024/04/24 4:51:29 AM AST","Beginner - Learning about observability / Have used monitoring tools","Go;JavaScript;Rust","Comprehensive documentation;Detailed tutorials;Videos;Reference implementations for instrumentation;Case studies","Kubernetes;Docker","Very important","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Very important","Very important","Very important","Not important","Not important","Not important","Very important","Very important","Not important",""
"2024/04/24 12:38:28 PM AST","Beginner - Learning about observability / Have used monitoring tools","Java;JavaScript;Python","Comprehensive documentation;Detailed tutorials;Videos","Kubernetes;Docker","Very important","Very important","Very important","Not important","Very important","Not applicable","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Not applicable","Very important","Very important","Not applicable",""
"2024/04/25 5:41:13 AM AST","Expert - We have a well-established observability practice","C++;.NET;Go;Java;JavaScript;Python;Rust","Detailed tutorials;Blogs;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Bare Metal;Virtual Machines","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important",""
"2024/04/25 5:47:33 AM AST","Expert - We have a well-established observability practice","Go;Java;JavaScript;PHP;Python;Swift","Comprehensive documentation;Blogs;Reference implementations for collector deployment;Reference implementations for collector deployment in ECS Fargate (for those of us not on k8s!)","Kubernetes;Docker;Virtual Machines;Serverless","Very important","Very important","Not important","Very important","Not important","Very important","Very important","Very important","Not important","Very important","Very important","Not important","Not important","Not important","Very important","Not important",""
"2024/04/25 9:29:25 AM AST","Beginner - Learning about observability / Have used monitoring tools","Go;Java;JavaScript;Python","Comprehensive documentation;Detailed tutorials;Blogs;Videos;Reference implementations for instrumentation;Reference implementations for collector deployment","Docker","Very important","Very important","Very important","Not important","Not important","Very important","Very important","Not important","Very important","Not important","Very important","Not important","Very important","Very important","Very important","Not important",""
"2024/04/25 6:57:45 PM AST","Beginner - Learning about observability / Have used monitoring tools","C++;JavaScript;Python;Matlab, Lua, R","Blogs;Reference implementations for instrumentation;Case studies","Docker;Bare Metal","Very important","Very important","Very important","Not important","Very important","Very important","Very important","Not important","Very important","Very important","Very important","Not important","Not important","Very important","Very important","Not important",""
"2024/04/26 1:16:44 AM AST","Beginner - Learning about observability / Have used monitoring tools",".NET;Go;Java;JavaScript","Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker;Bare Metal;Virtual Machines","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not important","Not important","Very important","Very important","Very important","Not important",""
"2024/04/26 6:52:13 AM AST","Beginner - Learning about observability / Have used monitoring tools","Java;JavaScript","Comprehensive documentation;Detailed tutorials;Blogs;Reference implementations for instrumentation;Reference implementations for collector deployment;Case studies","Kubernetes","Not important","Very important","Very important","Not important","Not important","Not important","Very important","Very important","Not important","Not important","Very important","Not important","Not important","Very important","Not important","Not important",""
"2024/04/26 10:40:57 AM AST","Expert - We have a well-established observability practice","Go","Comprehensive documentation;Detailed tutorials","Kubernetes;Bare Metal","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Not applicable","Not applicable","Not important","Very important","Very important","Very important","Very important",""
"2024/04/26 2:32:42 PM AST","Intermediate - We are setting up an observability practice","C++;JavaScript;Python;SAS","Comprehensive documentation;Reference implementations for instrumentation","Kubernetes;Docker","Very important","Very important","Not important","Not applicable","Not applicable","Very important","Very important","Very important","Not important","Very important","Very important","Not important","Not important","Not applicable","Not applicable","Not important",""
"2024/04/27 10:42:07 AM AST","Expert - We have a well-established observability practice","Java;JavaScript;Python","Reference implementations for instrumentation","Kubernetes;Docker;Virtual Machines","Very important","Very important","Very important","Not important","Not important","Very important","Very important","Very important","Very important","Not important","Very important","Very important","Very important","Very important","Not applicable","Very important",""
