Timestamp,How many Collectors do you run in your organization?,Where do you deploy your Collectors?,What deployment scenarios do you use your Collectors in?,How do you deploy the OTel Collector on Kubernetes??,Do you build your own Collector distribution?,Do you use the OTel Collector Builder to build your own OTel Collector distribution?,How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,How do you monitor your Collector?,Which of the following Exporters do you use?,Which of the following receivers from do you use?,Which of the following processors do you use?,Which of the following connectors do you use?,Which of the following extensions do you use?,What kind of improvement would you most like to see for the Collector?
1-31-2024 16:40:46,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"googlecloudexporter, loadbalancingexporter, loggingexporter, lokiexporter, prometheusremotewriteexporter, sapmexporter, signalfxexporter, splunkhecexporter","chronyreceiver, dockerstatsreceiver, filelogreceiver, filereceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver, receivercreator, sapmreceiver, signalfxreceiver, vcenterreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor, spanmetricsprocessor",None... I think,healthcheckextension,Collector observability
1-31-2024 16:44:09,Between 5 and 10,"Kubernetes, CloudRun","next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",My own manifests,Yes,Yes,It's too hard to use!,Collector metrics,"dynatraceexporter, googlecloudpubsubexporter, googlemanagedprometheusexporter, opencensusexporter, prometheusremotewriteexporter","opencensusreceiver, otlpreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, k8sattributesprocessor, redactionprocessor",routingconnector,basicauthextension,Configuration management and resolution
1-31-2024 16:46:30,Between 2 and 5,Kubernetes,On every host (i.e k8s daemonset),OTel Operator,No,No,It's too hard to use!,Logs,"alertmanagerexporter, elasticsearchexporter, kafkaexporter, loggingexporter, lokiexporter, prometheusexporter, prometheusremotewriteexporter, syslogexporter","activedirectorydsreceiver, elasticsearchreceiver, fluentforwardreceiver, jaegerreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, lokireceiver, memcachedreceiver, mongodbatlasreceiver, mongodbreceiver, mysqlreceiver, nginxreceiver, postgresqlreceiver, prometheusreceiver, rabbitmqreceiver, redisreceiver, snmpreceiver, syslogreceiver, tcplogreceiver, udplogreceiver, windowseventlogreceiver","attributesprocessor, batchprocessor, datadogprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricsgenerationprocessor, metricstransformprocessor, redactionprocessor, remotetapprocessor, resourcedetectionprocessor, resourceprocessor, routingprocessor, schemaprocessor, servicegraphprocessor, spanmetricsprocessor, spanprocessor, transformprocessor","countconnector, datadogconnector, exceptionsconnector, routingconnector, servicegraphconnector, spanmetricsconnector","basicauthextension, bearertokenauthextension, encoding, headerssetterextension, healthcheckextension, jaegerremotesampling, oauth2clientauthextension, storage",Support for more receivers or exporters
1-31-2024 17:02:37,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,Collector metrics,"otlpexporter, prometheusexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, memorylimiterprocessor, metricsgenerationprocessor, servicegraphprocessor, spanmetricsprocessor, spanprocessor",spanmetricsconnector,basicauthextension,Configuration management and resolution
1-31-2024 17:10:32,Between 2 and 5,"Kubernetes, Docker",next to my application (i.e. k8s sidecar),My own manifests,No,No,I don't use it,I don't,otlpexporter,otlpreceiver,"batchprocessor, filterprocessor","servicegraphconnector, spanmetricsconnector","healthcheckextension, oauth2clientauthextension, pprofextension",Collector observability
1-31-2024 17:16:59,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,Yes,Yes,Meh,"Logs, Collector metrics","loadbalancingexporter, otlpexporter, prometheusremotewriteexporter","jaegerreceiver, otlpreceiver, statsdreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, spanmetricsprocessor, tailsamplingprocessor",n/a,"awsproxy, sigv4authextension",Configuration management and resolution
1-31-2024 17:22:03,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",My own manifests,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","debugexporter, loadbalancingexporter, sumologicexporter, otlphttpexporter","filelogreceiver, journaldreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor, routingprocessor, sumologicprocessor, transformprocessor",none,"healthcheckextension, pprofextension, filestorageextension",Stability
1-31-2024 17:25:31,1,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,Collector metrics,"datadogexporter, googlecloudexporter, googlecloudpubsubexporter, googlemanagedprometheusexporter","opencensusreceiver, otlpreceiver","cumulativetodeltaprocessor, k8sattributesprocessor, memorylimiterprocessor, resourceprocessor, routingprocessor, tailsamplingprocessor",datadogconnector,healthcheckextension,Stability
1-31-2024 17:30:29,Between 2 and 5,Virtual Machine (VM),On every host (i.e k8s daemonset),I don't deploy the OTel Collector on Kubernetes,No,No,Meh,I don't,none,activedirectorydsreceiver,none,none,none,Support for more receivers or exporters
1-31-2024 17:48:39,Between 2 and 5,Serverless containers services,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,I don't,"azuremonitorexporter, otlpexporter",otlpreceiver,"batchprocessor, filterprocessor, k8sattributesprocessor, tailsamplingprocessor",spanmetricsconnector,Na,Stability
1-31-2024 17:57:14,Between 5 and 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","debugexporter, kafkaexporter, opensearchexporter","kafkareceiver, otlpreceiver, syslogreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, transformprocessor",none,healthcheckextension,Collector observability
1-31-2024 18:02:36,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","debugexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter, signalfxexporter","awscloudwatchreceiver, filelogreceiver, fluentforwardreceiver, hostmetricsreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, mysqlreceiver, otlpreceiver, prometheusreceiver, receivercreator, signalfxreceiver, splunkenterprisereceiver, statsdreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, resourceprocessor, transformprocessor",None,"basicauthextension, bearertokenauthextension, oauth2clientauthextension, oidcauthextension",Stability
1-31-2024 18:04:53,1,AWS ECS,On every host (i.e k8s daemonset),I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,"Logs, Collector metrics",datadogexporter,"hostmetricsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor","datadogconnector, spanmetricsconnector",basicauthextension,Support for more receivers or exporters
1-31-2024 18:18:57,Between 5 and 10,HashiCorp Nomad,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), I don't deploy any Collectors to Kubernetes",I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,I don't,"loadbalancingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","lokireceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor",servicegraphconnector,oidcauthextension,Configuration management and resolution
1-31-2024 18:23:20,Between 5 and 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,Meh,"Logs, Collector metrics","alertmanagerexporter, awscloudwatchlogsexporter, clickhouseexporter","awscloudwatchmetricsreceiver, k8sclusterreceiver, k8seventsreceiver",k8sattributesprocessor,None ,None ,Support for more receivers or exporters
1-31-2024 18:40:57,1,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,"Logs, Collector metrics","otlpexporter, prometheusexporter",otlpreceiver,transformprocessor,spanmetricsconnector,oauth2clientauthextension,Configuration management and resolution
1-31-2024 19:03:47,More than 10,"Kubernetes, Virtual Machine (VM), AWS ECS, Fargate","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,Yes,Yes,It's easy to use. I love it!,Collector metrics,"awskinesisexporter, awss3exporter, datadogexporter, opensearchexporter, otlpexporter, prometheusremotewriteexporter","awscloudwatchmetricsreceiver, awscloudwatchreceiver, awsecscontainermetricsreceiver, awsfirehosereceiver, datadogreceiver, dockerstatsreceiver, expvarreceiver, filelogreceiver, filereceiver, hostmetricsreceiver, httpcheckreceiver, influxdbreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkareceiver, lokireceiver, otlpreceiver, prometheusreceiver, splunkhecreceiver, statsdreceiver, syslogreceiver, tcplogreceiver, udplogreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, datadogprocessor, deltatorateprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricsgenerationprocessor, metricstransformprocessor, probabilisticsamplerprocessor, redactionprocessor, resourcedetectionprocessor, resourceprocessor, routingprocessor, schemaprocessor, servicegraphprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor, transformprocessor","countconnector, datadogconnector, routingconnector, servicegraphconnector, spanmetricsconnector","headerssetterextension, healthcheckextension, opampextension, pprofextension, storage",Configuration management and resolution
1-31-2024 19:15:26,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,No,No,I don't use it,"Logs, Collector metrics","fileexporter, influxdbexporter, lokiexporter, otlpexporter, prometheusexporter","dockerstatsreceiver, filelogreceiver, filereceiver, filestatsreceiver, influxdbreceiver, mongodbreceiver, oracledbreceiver, otlpreceiver, snmpreceiver","attributesprocessor, batchprocessor, resourcedetectionprocessor, servicegraphprocessor, spanmetricsprocessor, spanprocessor","servicegraphconnector, spanmetricsconnector",healthcheckextension,Collector observability
1-31-2024 19:15:58,1,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,Collector metrics,"lokiexporter, otlpexporter, prometheusexporter",otlpreceiver,None ,None,None ,Configuration management and resolution
1-31-2024 19:21:04,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","otlpexporter, prometheusexporter","fluentforwardreceiver, hostmetricsreceiver, jaegerreceiver, otlpreceiver","attributesprocessor, batchprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, memorylimiterprocessor, metricsgenerationprocessor, metricstransformprocessor, probabilisticsamplerprocessor, resourcedetectionprocessor, routingprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor, transformprocessor",none,"basicauthextension, bearertokenauthextension, encoding, healthcheckextension, oauth2clientauthextension, opampextension",Configuration management and resolution
1-31-2024 19:25:56,Between 2 and 5,ECS,"next to my application (i.e. k8s sidecar), I don't deploy any Collectors to Kubernetes",I don't deploy the OTel Collector on Kubernetes,No,No,Meh,"I don't, Logs",otlpexporter,"awscloudwatchreceiver, awscontainerinsightreceiver, awsecscontainermetricsreceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, probabilisticsamplerprocessor, redactionprocessor, spanprocessor, tailsamplingprocessor, transformprocessor",None,None,Stability
1-31-2024 19:38:58,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,No,I don't use it,Collector metrics,"debugexporter, otlpexporter, sapmexporter, signalfxexporter, splunkhecexporter, zipkinexporter","dockerstatsreceiver, filelogreceiver, fluentforwardreceiver, hostmetricsreceiver, jaegerreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver, signalfxreceiver, splunkhecreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor",spanmetricsconnector,"healthcheckextension, httpforwarder, storage",Stability
1-31-2024 19:43:43,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,Collector metrics,"kafkaexporter, loadbalancingexporter, loggingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","jaegerreceiver, jmxreceiver, k8seventsreceiver, kafkareceiver, lokireceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, resourceprocessor, routingprocessor, spanmetricsprocessor","countconnector, spanmetricsconnector","headerssetterextension, healthcheckextension, jaegerremotesampling, pprofextension",Collector observability
1-31-2024 19:57:28,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,Collector metrics,otlpexporter,"jaegerreceiver, prometheusreceiver",spanprocessor,spanmetricsconnector,"healthcheckextension, ",Stability
1-31-2024 20:20:39,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,Yes,No,I don't use it,"Logs, Collector metrics",otlpexporter,"jaegerreceiver, otlpreceiver, zipkinreceiver","batchprocessor, resourceprocessor",countconnector,no,Stability
1-31-2024 21:58:31,Between 5 and 10,"Kubernetes, AWS ECS",As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,Yes,Yes,Meh,"Logs, Collector metrics","debugexporter, dynatraceexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","lokireceiver, otlpreceiver, statsdreceiver, syslogreceiver, tcplogreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, routingprocessor, servicegraphprocessor","routingconnector, servicegraphconnector","basicauthextension, healthcheckextension, sigv4authextension",Collector observability
1-31-2024 22:31:47,More than 10,"Kubernetes, Virtual Machine (VM), ECS","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","coralogixexporter, loggingexporter","apachereceiver, filelogreceiver, fluentforwardreceiver, hostmetricsreceiver, iisreceiver, jaegerreceiver, journaldreceiver, k8sclusterreceiver, k8seventsreceiver, mongodbatlasreceiver, mongodbreceiver, mysqlreceiver, nginxreceiver, prometheusreceiver, rabbitmqreceiver, sqlserverreceiver, statsdreceiver, syslogreceiver, windowseventlogreceiver, windowsperfcountersreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, probabilisticsamplerprocessor",routingconnector,healthcheckextension,Configuration management and resolution
1-31-2024 23:18:55,Between 5 and 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,"Logs, Collector metrics","influxdbexporter, otlpexporter, prometheusexporter","influxdbreceiver, otlpreceiver, prometheusreceiver","filterprocessor, routingprocessor",grafana,"bearertokenauthextension, storage",Configuration management and resolution
1-31-2024 23:38:39,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","next to my application (i.e. k8s sidecar), On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","debugexporter, fileexporter, loggingexporter, otlpexporter, signalfxexporter, splunkhecexporter","dockerstatsreceiver, filelogreceiver, filereceiver, hostmetricsreceiver, httpcheckreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, mysqlreceiver, otlpreceiver, prometheusreceiver, sapmreceiver, simpleprometheusreceiver, snowflakereceiver, vcenterreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor",None,"healthcheckextension, httpforwarder",Support for more receivers or exporters
1-31-2024 23:53:22,More than 10,"Kubernetes, Virtual Machine (VM), Lambda",On every host (i.e k8s daemonset),OTel Operator,No,No,I don't use it,Collector metrics,"loggingexporter, otlpexporter, sapmexporter, signalfxexporter","hostmetricsreceiver, jmxreceiver, k8sclusterreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, otlpreceiver, postgresqlreceiver, prometheusreceiver, receivercreator","attributesprocessor, k8sattributesprocessor, resourceprocessor",None,"healthcheckextension, observer",Configuration management and resolution
2-1-2024 0:13:45,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,otlpexporter,jaegerreceiver,"k8sattributesprocessor, memorylimiterprocessor",None,None,Collector observability
2-1-2024 1:06:22,Between 2 and 5,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","debugexporter, instanaexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter, splunkhecexporter","fluentforwardreceiver, otlpreceiver, snmpreceiver","batchprocessor, filterprocessor, memorylimiterprocessor","countconnector, servicegraphconnector, spanmetricsconnector",healthcheckextension,Configuration management and resolution
2-1-2024 1:12:08,1,Kubernetes,On every host (i.e k8s daemonset),OTel Operator,No,No,I don't use it,Collector metrics,prometheusremotewriteexporter,"otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, memorylimiterprocessor",spanmetricsconnector,Null,Collector observability
2-1-2024 2:39:48,More than 10,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,Logs,datadogexporter,"datadogreceiver, hostmetricsreceiver, prometheusreceiver",batchprocessor,N/A,N/A,Support for more receivers or exporters
2-1-2024 2:53:30,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,It's easy to use. I love it!,Collector metrics,otlpexporter,"filelogreceiver, otlpreceiver, prometheusreceiver, syslogreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, resourcedetectionprocessor, resourceprocessor, tailsamplingprocessor, transformprocessor",spanmetricsconnector,healthcheckextension,Configuration management and resolution
2-1-2024 2:53:32,1,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,No,No,I don't use it,Logs,"debugexporter, otlpexporter, prometheusremotewriteexporter",otlpreceiver,memorylimiterprocessor,spanmetricsconnector,storage,Collector observability
2-1-2024 3:09:11,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","datasetexporter, loggingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","filelogreceiver, hostmetricsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, redactionprocessor, resourcedetectionprocessor, transformprocessor",spanmetricsconnector,"basicauthextension, healthcheckextension, oidcauthextension",Collector observability
2-1-2024 3:09:42,More than 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,I don't use it,"Logs, Collector metrics","otlpexporter, prometheusexporter","hostmetricsreceiver, jmxreceiver, otlpreceiver, prometheusreceiver, snmpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor, spanprocessor, transformprocessor",spanmetricsconnector,"healthcheckextension, pprofextension",Stability
2-1-2024 3:14:44,Between 5 and 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,Yes,Yes,It's easy to use. I love it!,I tried a few times with autoinstrumentation but I am not able to make it running...,"debugexporter, kafkaexporter, loadbalancingexporter, otlpexporter","kafkareceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, transformprocessor",I am not using this feature yet,"healthcheckextension, storage",Collector observability
2-1-2024 3:36:08,Between 5 and 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Operator,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","loadbalancingexporter, xrayexporter","awsxrayreceiver, kafkareceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, tailsamplingprocessor","failoverconnector, routingconnector",healthcheckextension,Configuration management and resolution
2-1-2024 3:40:05,Between 5 and 10,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,I don't,"lokiexporter, otlpexporter","filelogreceiver, otlpreceiver","batchprocessor, k8sattributesprocessor",n/a,n/a,Configuration management and resolution
2-1-2024 4:48:48,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,Collector metrics,"loadbalancingexporter, loggingexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, groupbytraceprocessor, metricstransformprocessor, servicegraphprocessor, spanmetricsprocessor",servicegraphconnector,"basicauthextension, healthcheckextension",Collector observability
2-1-2024 4:50:42,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,Yes,Yes,It's easy to use. I love it!,Collector metrics,"loadbalancingexporter, otlpexporter",otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, spanprocessor, tailsamplingprocessor",spanmetricsconnector,healthcheckextension,Stability
2-1-2024 5:12:58,Between 2 and 5,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,"Logs, Collector metrics","azuredataexplorerexporter, clickhouseexporter, datadogexporter, dynatraceexporter, loadbalancingexporter, loggingexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","filelogreceiver, k8sclusterreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, logstransformprocessor, tailsamplingprocessor, transformprocessor",selfbuilt,healthcheckextension,Stability
2-1-2024 5:48:56,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,Meh,"Logs, Collector metrics","awss3exporter, kafkaexporter, lokiexporter, prometheusexporter","k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkareceiver, otlpreceiver, prometheusreceiver, simpleprometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, transformprocessor",We don't use any connectors that I'm aware of,basicauthextension,Configuration management and resolution
2-1-2024 5:55:54,Between 2 and 5,Bare Metal,I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,Collector metrics,"debugexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter",otlpreceiver,"batchprocessor, spanprocessor",servicegraphconnector,"healthcheckextension, pprofextension",Stability
2-1-2024 6:15:15,More than 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,Yes,Yes,Meh,"Logs, Collector metrics, VM host metrics","fileexporter, loadbalancingexporter, loggingexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, memorylimiterprocessor, metricstransformprocessor, tailsamplingprocessor, transformprocessor, We have our own delta to cumulative processor","countconnector, servicegraphconnector","basicauthextension, healthcheckextension",Stability
2-1-2024 6:24:56,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,Logs,"loggingexporter, logzioexporter, prometheusexporter","jaegerreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, spanmetricsprocessor",None,None,Configuration management and resolution
2-1-2024 6:25:14,More than 10,"Kubernetes, Virtual Machine (VM)",As a gateway (i.e. k8s deployment),My own manifests,No,No,I don't use it,"Logs, Collector metrics","elasticsearchexporter, kafkaexporter, loggingexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","kafkareceiver, lokireceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, resourceprocessor",NA,"headerssetterextension, healthcheckextension, pprofextension",Configuration management and resolution
2-1-2024 6:44:23,More than 10,"Kubernetes, Virtual Machine (VM), Bare Metal","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,Yes,Yes,Meh,Collector metrics,"awsemfexporter, otlpexporter",filelogreceiver,"batchprocessor, filterprocessor, servicegraphprocessor, spanmetricsprocessor, tailsamplingprocessor, transformprocessor","servicegraphconnector, spanmetricsconnector",sigv4authextension,Collector observability
2-1-2024 7:14:52,Between 2 and 5,Aws ecs,"next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Logs,"awsxrayexporter, otlpexporter","awscloudwatchreceiver, awsxrayreceiver, otlpreceiver","batchprocessor, tailsamplingprocessor, transformprocessor",None,healthcheckextension,Collector observability
2-1-2024 7:40:14,Between 2 and 5,Kubernetes,On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,"Collector metrics, i check logs using cmd, but i dont send them anywhere because they can be quite chatty, ","debugexporter, fileexporter, loadbalancingexporter, loggingexporter, logzioexporter, otlpexporter, signalfxexporter, splunkhecexporter","filelogreceiver, hostmetricsreceiver, httpcheckreceiver, jaegerreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kafkareceiver, kubeletstatsreceiver, lokireceiver, nginxreceiver, otlpreceiver, simpleprometheusreceiver, tcplogreceiver, udplogreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, resourcedetectionprocessor, routingprocessor",didnt start using connectors yet,"basicauthextension, bearertokenauthextension, headerssetterextension, healthcheckextension, pprofextension, storage",Support for more receivers or exporters
2-1-2024 8:14:22,More than 10,Kubernetes,"next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",My own manifests,Yes,Yes,Meh,Logs,"otlpexporter, prometheusexporter, otlphttp","hostmetricsreceiver, otlpreceiver","batchprocessor, filterprocessor",spanmetricsconnector,"oauth2clientauthextension, Custom authenticator",Stability
2-1-2024 8:29:12,Between 2 and 5,"Virtual Machine (VM), With Docker",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,I don't use it,Collector metrics,"loggingexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","apachereceiver, dockerstatsreceiver, filelogreceiver, hostmetricsreceiver, httpcheckreceiver, influxdbreceiver, otlpreceiver","attributesprocessor, batchprocessor, filterprocessor, logstransformprocessor, metricstransformprocessor, resourceprocessor, routingprocessor, servicegraphprocessor, spanmetricsprocessor, spanprocessor, tailsamplingprocessor, transformprocessor","routingconnector, servicegraphconnector, spanmetricsconnector",bearertokenauthextension,Configuration management and resolution
