Timestamp,Do you use OpenTelemetry in production for metrics?,Where do you store your metrics primarily?,What type of team do you work on?,Do you collect infrastructure metrics?,How do you instrument infrastructure metrics collection? (choose all that apply),Do you collect application metrics? ,How do you instrument application metrics collection? (choose all that apply),What do you use to process or transform metrics data before you send it to storage? (choose all that apply),How easy or difficult is it to use OpenTelemetry and Prometheus together?,What would you like us to improve to make OpenTelemetry and Prometheus work better together?  (optional),What industry do you work in?,Where in its observability journey is your organization?,How large is your organization?,Do you work for an observability or APM (monitoring) vendor?,Are you a Prometheus or an OpenTelemetry maintainer?
5/12/2026 13:43:45,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Observability,,"OTel receivers, Built-in /metrics endpoint (without exporter), Built-in OTLP push",,"OTel SDKs, Prometheus SDKs","Open source OTel Collector (core, contrib), Vendor distribution of OTel Collector",Somewhat easy,,Other,Expert - Having a well-established observability practice,1000+ employees,No,No
5/12/2026 14:04:51,No,,,,,,,,,,,,,,
5/12/2026 14:24:33,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
5/12/2026 15:09:11,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Operations,,OTel receivers,,OTel Auto-instrumentation Agent,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
5/12/2026 15:26:07,Yes,Victoriametrics,,,,,,,,,,,,,
5/12/2026 17:31:17,No,,,,,,,,,,,,,,
5/12/2026 18:56:16,No,,,,,,,,,,,,,,
5/13/2026 10:52:45,Yes,Prometheus,SRE,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push, textfile collector",,"OTel SDKs, Prometheus SDKs, textfile collector","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,unifying prometheus labels and otel attributes (semconv),Finance,Expert - Having a well-established observability practice,50-99 employees,No,No
5/13/2026 11:41:05,Yes,Prometheus,Observability,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter)",,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,,Retail,Expert - Having a well-established observability practice,1000+ employees,No,No
5/13/2026 13:16:26,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",DevOps,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",Custom-built OTel Collector built with OCB,Somewhat easy,,Finance,Beginner - Learning about observability / Have used monitoring tools,100-999 employees,No,No
5/13/2026 13:38:40,Yes,Prometheus,Observability,,I don't collect infrastructure metrics,,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Very easy,,Finance,Intermediate - Setting up an observability practice,1000+ employees,No,No
5/13/2026 17:52:24,No,,,,,,,,,,,,,,
5/13/2026 17:59:01,No,,,,,,,,,,,,,,
5/13/2026 18:31:06,Yes,Prometheus,DevOps,,OTel receivers,,OTel SDKs,"Nothing, it goes to storage right away",Somewhat easy,Provide a native WindowsService for Prometheus,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
5/14/2026 3:44:35,Yes,Prometheus,Observability,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,"OTel SDKs, jvm-exporter",Prometheus relabeling rules or record evaluations,Neither easy nor difficult,prometheus 更改的键入opentelemetry，而不是prometheus otlp配置translation_strategy有多种配置选择,Technology,Intermediate - Setting up an observability practice,100-999 employees,No,No
5/14/2026 9:14:18,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Other,,,,,,,,,,,,
5/14/2026 10:41:38,No,,,,,,,,,,,,,,
5/14/2026 14:28:45,No,,,,,,,,,,,,,,
5/14/2026 17:12:55,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",DevOps,,"Prometheus exporters, Built-in /metrics endpoint (without exporter), OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"Prometheus SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib), Custom-built OTel Collector built with OCB",Somewhat difficult,,Other,Intermediate - Setting up an observability practice,100-999 employees,Yes,No
5/14/2026 18:52:55,Yes,Prometheus,SRE,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat difficult,,Technology,Intermediate - Setting up an observability practice,1000+ employees,No,No
5/14/2026 19:18:30,Yes,Prometheus,Dev,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter)",,Prometheus SDKs,"Nothing, it goes to storage right away, Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Very easy,,Technology,Intermediate - Setting up an observability practice,50-99 employees,No,No
5/15/2026 0:19:07,No,,,,,,,,,,,,,,
5/15/2026 8:12:50,No,,,,,,,,,,,,,,
5/15/2026 9:13:46,No,,,,,,,,,,,,,,
5/15/2026 10:07:17,Yes,Prometheus,Dev,,"Prometheus exporters, Built-in /metrics endpoint (without exporter), Built-in OTLP push",,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
5/15/2026 12:06:24,No,,,,,,,,,,,,,,
5/15/2026 12:49:08,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Operations,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Expert - Having a well-established observability practice,1-49 employees,Yes,No
5/15/2026 16:49:15,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Observability,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter)",,Prometheus SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib), Custom-built OTel Collector built with OCB",Neither easy nor difficult,,Finance,Expert - Having a well-established observability practice,1000+ employees,No,No
5/15/2026 17:27:26,No,,,,,,,,,,,,,,
5/15/2026 17:50:13,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Sysadmin,,Prometheus exporters,,"Prometheus SDKs, I don’t know","Nothing, it goes to storage right away, Prometheus relabeling rules or record evaluations",Neither easy nor difficult,,Other,Expert - Having a well-established observability practice,100-999 employees,No,No
5/15/2026 19:50:31,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
5/16/2026 12:09:06,No,,,,,,,,,,,,,,
5/16/2026 12:45:58,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",DevOps,,"Prometheus exporters, Built-in /metrics endpoint (without exporter), OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"Prometheus SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Beginner - Learning about observability / Have used monitoring tools,1-49 employees,No,Yes
5/16/2026 15:24:03,Yes,Prometheus,Dev,,"OTel receivers, Prometheus exporters, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Very easy,,Finance,Expert - Having a well-established observability practice,100-999 employees,No,No
5/16/2026 16:43:15,No,,,,,,,,,,,,,,
5/17/2026 4:45:55,No,,,,,,,,,,,,,,
5/17/2026 14:49:15,Yes,Prometheus,DevOps,,OTel receivers,,OTel SDKs,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,1000+ employees,Yes,Yes
5/17/2026 15:47:28,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,Prometheus exporters,,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,,Finance,Intermediate - Setting up an observability practice,1000+ employees,Yes,No
5/17/2026 23:56:43,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",DevOps,,I don’t know,,I don’t know,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Other,Intermediate - Setting up an observability practice,50-99 employees,Yes,Yes
5/18/2026 21:18:40,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Platform Engineering,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Somewhat difficult,,Other,Expert - Having a well-established observability practice,1000+ employees,No,No
5/19/2026 6:40:09,No,,,,,,,,,,,,,,
5/19/2026 7:45:07,Yes,Prometheus,Sysadmin,,Prometheus exporters,,I don't collect application metrics,"Nothing, it goes to storage right away",Somewhat easy,,Other,Expert - Having a well-established observability practice,50-99 employees,No,No
5/19/2026 13:11:33,Yes,Prometheus,Dev,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,100-999 employees,No,No
5/19/2026 13:35:20,Yes,Signoz,,,,,,,,,,,,,
5/19/2026 17:52:45,Yes,Prometheus,DevOps,,"OTel receivers, Prometheus exporters",,I don't collect application metrics,Vendor distribution of OTel Collector,Neither easy nor difficult,,Technology,Beginner - Learning about observability / Have used monitoring tools,50-99 employees,No,No
5/19/2026 18:09:05,Yes,Prometheus,DevOps,,"OTel receivers, Prometheus exporters",,"OTel SDKs, Prometheus SDKs",Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Expert - Having a well-established observability practice,1000+ employees,Yes,Yes
5/19/2026 20:12:52,No,,,,,,,,,,,,,,
5/20/2026 0:04:27,Yes,Prometheus,DevOps,,"Prometheus exporters, I don’t know",,I don’t know,"Nothing, it goes to storage right away",Somewhat difficult,,Technology,Intermediate - Setting up an observability practice,1-49 employees,No,No
5/20/2026 15:52:00,Yes,Prometheus,Dev,,"OTel receivers, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,OTel SDKs,"Nothing, it goes to storage right away",Very easy,,Other,Intermediate - Setting up an observability practice,100-999 employees,No,No
5/20/2026 17:18:19,No,,,,,,,,,,,,,,
5/21/2026 0:38:13,Yes,"A backend not associated with Prometheus, not compatible with PromQL",,,,,,,,,,,,,
5/21/2026 8:10:48,No,,,,,,,,,,,,,,
5/21/2026 10:39:05,No,,,,,,,,,,,,,,
5/21/2026 13:24:17,No,,,,,,,,,,,,,,
5/21/2026 13:34:27,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,DevOps,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter)",,OTel SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib), Custom-built OTel Collector built with OCB, Vendor distribution of OTel Collector",Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,100-999 employees,No,No
5/21/2026 14:23:32,No,,,,,,,,,,,,,,
5/21/2026 14:51:05,Yes,Prometheus,Dev,,"Prometheus exporters, Telegraf",,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Somewhat easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
5/21/2026 16:29:30,No,,,,,,,,,,,,,,
5/21/2026 18:07:29,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Observability,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter)",,I don't collect application metrics,Prometheus relabeling rules or record evaluations,Somewhat easy,,Technology,Expert - Having a well-established observability practice,1000+ employees,No,No
5/21/2026 22:52:10,No,,,,,,,,,,,,,,
5/22/2026 7:28:37,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Sysadmin,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,I don't collect application metrics,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Expert - Having a well-established observability practice,1-49 employees,No,No
5/22/2026 7:40:45,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,,"OTel receivers, Prometheus exporters",,"OTel SDKs, Prometheus SDKs","Nothing, it goes to storage right away",Neither easy nor difficult,,Technology,Expert - Having a well-established observability practice,100-999 employees,No,No
5/22/2026 10:07:04,No,,,,,,,,,,,,,,
5/23/2026 12:41:23,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Sysadmin,,OpenTelemetry eBPF Instrumentation (a.k.a. OBI),,OpenTelemetry eBPF Instrumentation (a.k.a. OBI),"Nothing, it goes to storage right away",Somewhat easy,,Other,Beginner - Learning about observability / Have used monitoring tools,1-49 employees,No,Yes
5/23/2026 21:15:24,Yes,Prometheus,DevOps,,"Prometheus exporters, Built-in /metrics endpoint (without exporter)",,"OTel SDKs, Prometheus SDKs","Nothing, it goes to storage right away",Neither easy nor difficult,,Technology,Intermediate - Setting up an observability practice,1-49 employees,No,Yes
5/24/2026 0:56:28,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Sysadmin,,I don’t know,,I don’t know,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Other,Beginner - Learning about observability / Have used monitoring tools,1-49 employees,Yes,Yes
5/24/2026 8:44:37,No,,,,,,,,,,,,,,
5/24/2026 13:18:18,Yes,VictoriaMetrics,,,,,,,,,,,,,
5/25/2026 11:38:07,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Observability,,"OTel receivers, Prometheus exporters, Built-in /metrics endpoint (without exporter), OpenTelemetry eBPF Instrumentation (a.k.a. OBI)",,"OTel SDKs, OpenTelemetry eBPF Instrumentation (a.k.a. OBI)","Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat difficult,,Other,Expert - Having a well-established observability practice,1000+ employees,Yes,No
5/25/2026 15:06:27,No,,,,,,,,,,,,,,
5/26/2026 9:00:24,No,,,,,,,,,,,,,,
