"Timestamp","How large is your organization?","What industry do you work in?","What type of team do to work on?","How well do you understand Prometheus? [Libraries]","How well do you understand Prometheus? [Formats]","How well do you understand Prometheus? [Server configuration]","How well do you understand Prometheus? [PromQL]","How familiar are you with OpenTelemetry? [Libraries]","How familiar are you with OpenTelemetry? [OTLP]","How familiar are you with OpenTelemetry? [Collector]","How familiar are you with OpenTelemetry? [Operator]","Which of the following instrumentation libraries or tools are you using (select all that apply):","Which of the following OpenTelemetry components are you using to deliver metrics to your backend (select all that apply):","Which of the following are you using to store metrics (select all that apply):","Which query language are you using to query metrics (select all that apply):","Which of these have you done in the past 6 months (select all that apply):","How easy have you found it to use OpenTelemetry with Prometheus?","How confusing have you found the translation between OpenTelemetry metrics and Prometheus metrics?","What have been the biggest challenges you’ve faced using OpenTelemetry with Prometheus?","What would you like to see changed or improved with OpenTelemetry’s Prometheus support?","OpenTelemetry defines the HTTP server histogram metric as http.server.request.duration, with a unit of seconds (s). Suppose you are writing a query for the 95th percentile of the same HTTP metric. Which of the following would you expect to write (regardless of what is valid/correct today), (select all that apply):","Suppose you’ve defined your own OpenTelemetry metric in Go to track how far your robot has traveled:

counter, _ := meter.Float64ObservableCounter(""robot.distance.traveled"",
       metric.WithUnit(""mm"")
   )
   // Call counter.Add() each time the robot moves.

Which of the following would you expect to write (regardless of what is valid/correct today), (select all that apply):","Imagine you know that your node’s OpenTelemetry instrumentation defines a node.time metric, but you don’t remember its unit. Someone complains about a flaky alert, so you open a YAML file with your alert configuration. Which of the following you prefer the most (select all that apply):","Which of the following describes your opinion on units in metric names (select one):","Which of the following describes your opinion on dots vs underscores in metric names (select one):"
"2024/05/02 10:08:50 PM AST",">1,000","Technology","Observability","Somewhat familiar","Somewhat familiar","Somewhat familiar","Expert","Somewhat familiar","Somewhat familiar","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries","OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus exporter;Prometheus Client OTLP export.;Prometheus Server OTLP ingestion","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A backend not associated with Prometheus, not compatible with PromQL","PromQL;SQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","2","3","1. The default fields conversion from Prometheus metrics to OTLP (service.instance.id, etc.)
2. understanding Resource, Metrics, DataPoints and how prometheusreceiver converts it into","there should be an option in prometheusreceiver to not convert duplicate labels (e.g. job to exported_job, instance to exported_instance)","histogram_quantile(0.95, rate(http_server_request_duration_bucket[5m]));histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled[5m]);rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/03 12:15:01 AM AST","100-1,000","Technology","Dev","Somewhat familiar","Expert","Expert","Somewhat familiar","Somewhat familiar","Somewhat familiar","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry auto-instrumentation agents","None of the Above","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A Prometheus-compatible (or PromQL compatible) solution from a vendor","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","4","3","..","..","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate({""robot.distance.traveled""}[5m]);rate({""robot.distance.traveled_millimeters""}[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/03 10:56:45 AM AST","100-1,000","Technology","SRE","Not at all familiar","Not at all familiar","Expert","Expert","Not at all familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus exporters (e.g. node_exporter);OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus exporter;OpenTelemetry Collector Prometheus remote write exporter;Prometheus Client OTLP export.;Prometheus Server OTLP ingestion","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","2","2","none","none","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_bucket""}[5m]))","rate({""robot.distance.traveled_millimeters_total""}[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","All dots should be changed to underscores when translating to Prometheus. That way, metric names match the format used by the rest of the Prometheus ecosystem."
"2024/05/03 11:33:02 AM AST",">1,000","Ad Tech","Observability","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents;Pushgateway, Mimir, VictoriaMetrics","OpenTelemetry Language SDK Prometheus exporters","An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","4","4","Performance of the OpenTelemetry Collector does not scale.
It's not possible to create automatic aggregation rules based on the type of instrument or by using annotations in the code.
Cardinality due to the exessive amount of metrics generated by most HTTP instrumentation (ASPNETCORE) as sparse/native histogram are still not a thing having one histogram per route per status code is insanely costly to store by default.
Metrics do strings and unit are still far from being well supported.
","Keep the pull model it's good for discovery, maybe with a constantly opened connection though (reverse push) for performance and streaming updates, gRPC style.
Better support for sparse/native histogram, cheap with good buckets boundaries.
Make it easy to define how to aggregate the metrics from the language.
Propagate metrics doc strings and unit into some kind of useful available in Grafana. (automatic panel units) 
Enrich PromQL query language, it's very hard to explain to users that you can't do even basic transformations without having to rely on what looks like language hacks.","histogram_quantile(0.95, rate(http_server_request_duration_bucket[5m]))","rate(robot_distance_traveled[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/04 1:31:26 AM AST","0-50","Technology","Dev","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Somewhat familiar","Not at all familiar","Somewhat familiar","Not at all familiar","Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries","OpenTelemetry Collector Prometheus receiver","A Prometheus-compatible (or PromQL compatible) solution from a vendor","A vendor-specific query language (specify what under Other);DataDog and Honeycomb","Configured collection or routing of metrics","3","4","Filtering and processing metrics with otelcolcontrib before sending to DataDog and Honeycomb","Stable JavaScript metrics library","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/04 1:52:35 AM AST",">1,000","Technology","Observability","Expert","Expert","Expert","Expert","Somewhat familiar","Somewhat familiar","Not at all familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter)","None of the Above","An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","3","5","The different metric types (instruments) are confusing and it is hard to tell which one to use when. ","I would like to see concepts close to what Prometheus has, rather than inventing new abstractions which have not been tested in practice.","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled[5m]);rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/04 10:17:27 AM AST","0-50","Financial","DevOps","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents;Pyroscope for application profiling","OpenTelemetry Language SDK Prometheus exporters;OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Simple Prometheus receiver;OpenTelemetry Collector Prometheus remote write exporter;Prometheus Client OTLP export.","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","2","2","Last time I was faced an issue with the application tracing. I am not able to see the parameterized queries which I am using the application. But this issue is fixed.","Need more metrics related to the application performance and documented these metric related information in the OTEL docs. Please keep all metrics semantics in common format","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I don’t care, but don’t modify OpenTelemetry metric names."
"2024/05/04 2:46:04 PM AST",">1,000","Technology","Platform engineering","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Language SDK Prometheus exporters;OpenTelemetry Language SDK Prometheus bridges;OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Simple Prometheus receiver;OpenTelemetry Collector Prometheus exporter;OpenTelemetry Collector Prometheus remote write exporter;Prometheus Client OTLP export.;Prometheus Server OTLP ingestion","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A Prometheus-compatible (or PromQL compatible) solution from a vendor;A backend not associated with Prometheus, not compatible with PromQL","PromQL;SQL;A vendor-specific query language (specify what under Other);A different open source query language (specify what under Other);","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","5","5","Skills and knowledge ","Operations systems ","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds_bucket""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_bucket""}[5m]));histogram_quantile(0.95, rate(http_server_request_duration_bucket[5m]));histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate({""robot.distance.traveled""}[5m]);rate({""robot.distance.traveled_millimeters""}[5m]);rate({""robot.distance.traveled_millimeters_total""}[5m]);rate({""robot.distance.traveled_total""}[5m]);rate(robot_distance_traveled[5m]);rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5;expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5;expr: timestamp({""node.time_nanoseconds""}) - (1e-9 * {""node.time_nanoseconds""}) >  5","Units should generally not be added to metric names, but base units (seconds, meters, etc.) should be required.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/05 7:59:09 AM AST","100-1,000","Technology","DevOps","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus exporter","A Prometheus-compatible (or PromQL compatible) solution from a vendor","A vendor-specific query language (specify what under Other);Datadog","Configured collection or routing of metrics;Created or edited a dashboard for displaying metrics","2","3","The different collectors all have different configurations ","Easier query lang other than promQL","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]))","rate({""robot.distance.traveled""}[5m]);rate(robot_distance_traveled[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/05 12:08:44 PM AST",">1,000","Technology","Observability","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Expert","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus remote write exporter","An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","5","No Prometheus Remote Write Receiver in OpenTelemetry Collector","RemoteWriteReceiver and ability to have dot in metrics (service.name and service_name both end up being service_name in Prometheus)","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate({""robot.distance.traveled_millimeters""}[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/06 5:03:15 PM AST","100-1,000","Technology","Platform engineering","Not at all familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","None of the Above","A backend not associated with Prometheus, not compatible with PromQL","A vendor-specific query language (specify what under Other)","Added a metric to an application;Configured collection or routing of metrics;Created or edited a dashboard for displaying metrics","4","5","Na","Na","histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5","I don’t care, but just don’t break whatever the current behavior is.","I don’t care, but don’t modify OpenTelemetry metric names."
"2024/05/07 3:06:43 AM AST",">1,000","Media","Dev","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","OpenTelemetry auto-instrumentation agents","OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus remote write exporter","The Prometheus Server","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","4","4","Different label naming conventions; Mapping of OTEL attributes and resource attributes to Prometheus.","I think Prometheus should adapt to OpenTelemetry's metrics model. It should be very easy to export metrics with OTel Collector to Prometheus without additional configuration. It is important that it ""just works"".","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]))","rate(robot_distance_traveled[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/07 9:34:06 AM AST",">1,000","Retail","Platform engineering","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OTel collector, that scrapes prometheus exported metrics and send directly to OTel metrics backend to replace big parts of Prometheus","OpenTelemetry Language SDK Prometheus exporters;OpenTelemetry Collector Prometheus receiver;OpenTelemetry Collector Prometheus exporter;OpenTelemetry Collector Prometheus remote write exporter;Prometheus Client OTLP export.;Prometheus Server OTLP ingestion","The Prometheus Server;A backend not associated with Prometheus, not compatible with PromQL","PromQL;A vendor-specific query language (specify what under Other);UQL https://docs.lightstep.com/docs/uql-reference","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","3","5","OTel does not support aggregations that are powerful enough.
Sometimes you do not want to send tons of data to OTel provider because it's super cost intense and all you need is an aggregated value, but IMO the idea of OTel is more to get a lot of money instead of providing value to the users.","Aggregations need to be built in to not pass tons of data you do not need to feed only the bill of your provider and heat up the world by unnecessary compute.
I hope you don't want to break again user experience like it was done by Opentracing to OTel migration....","histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate({""robot.distance.traveled_millimeters""}[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","I don’t care, but don’t modify OpenTelemetry metric names."
"2024/05/07 9:45:08 AM AST","100-1,000","Technology","SRE","Expert","Somewhat familiar","Somewhat familiar","Expert","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries","Prometheus Client OTLP export.","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","3","2","Vendor buy in","Unsure","histogram_quantile(0.95, rate({""http.server.request.duration_seconds_bucket""}[5m]));histogram_quantile(0.95, rate(http_server_request_duration_bucket[5m]))","rate({""robot.distance.traveled_millimeters_total""}[5m]);rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5","I don’t care, but just don’t break whatever the current behavior is.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/07 12:25:49 PM AST","100-1,000","Technology","Observability","Somewhat familiar","Not at all familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Not at all familiar","Not at all familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);Grafana agent, vector","None of the Above","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","3","Haven't used otel","N/A","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","I don’t care, but just don’t break whatever the current behavior is.","All dots should be changed to underscores when translating to Prometheus. That way, metric names match the format used by the rest of the Prometheus ecosystem."
"2024/05/07 12:37:47 PM AST",">1,000","Financial","SRE","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Expert","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries","OpenTelemetry Language SDK Prometheus exporters;OpenTelemetry Collector Prometheus exporter;OpenTelemetry Collector Prometheus remote write exporter","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics","3","3","The concept of meters and scope compared to the global namespace of Prometheus","Documentation for the newcomer, not just those well versed in Otel.","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds_bucket""}[5m]))","rate({""robot.distance.traveled""}[5m]);rate({""robot.distance.traveled_total""}[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5;expr: timestamp({""node.time_nanoseconds""}) - (1e-9 * {""node.time_nanoseconds""}) >  5","Units should generally not be added to metric names, but base units (seconds, meters, etc.) should be required.","I like the dots better, and am glad OpenTelemetry chose to use them in metric names, let’s make sure dots works better in Prometheus"
"2024/05/08 2:27:15 PM AST",">1,000","Technology","Dev","Expert","Expert","Expert","Expert","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Trace Client Libraries","Prometheus Server OTLP ingestion","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.)","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","4","4","Non-equivalence of names. How to handle OTel resource attributes in Prometheus. The confusion that OpenMetrics introduced some (partially weird) concepts that even Prometheus hasn't really embraced, and now OTel was in that weird situation what to support first class (e.g. OM says unit names MUST be in the metric name, Prometheus itself is more liberal, and now OTel is in an impossible situation what to follow).
I think the unit as part of the metric name is a good case study to understand the dissonance. Prometheus recommends both, putting the unit in the metric name _and_ using SI base units, to minimize misunderstandings. But that's partially coming from the lack of 1st class metadata support in Prometheus so that it is hard to attach unit information to a metric in a reliable fashion. Even with that metadata support, there might be arguments for including the unit name, but that was never enforced. OpenMetrics added the enforcement in the exposition format, but without getting consensus from Prometheus first. OTel, on the other hand, didn't even have a strong stance about using base units.
In my opinion, the best way out of that situation would be if all involved systems had strong metadata support, but still strongly recommended using base units, and let users make their own call if they want to have the unit in the metric name, but maybe use the unit in the metric name for commonly used metric names (e.g. in semantic conventions).","Semantic conventions that aren't using characters that are invalid (or unusual) for Prometheus.","histogram_quantile(0.95, rate({""http.server.request.duration""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_seconds_bucket""}[5m]));histogram_quantile(0.95, rate({""http.server.request.duration_bucket""}[5m]));histogram_quantile(0.95, rate(http_server_request_duration_bucket[5m]));histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate({""robot.distance.traveled""}[5m]);rate({""robot.distance.traveled_millimeters""}[5m]);rate({""robot.distance.traveled_millimeters_total""}[5m]);rate({""robot.distance.traveled_total""}[5m]);rate(robot_distance_traveled[5m]);rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5;expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5;expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5;expr: timestamp({""node.time_nanoseconds""}) - (1e-9 * {""node.time_nanoseconds""}) >  5","We should recommend adding units to metric names, for the reasons above, but let users decide if they should add them or not.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/08 6:59:03 PM AST","0-50","Research University Department (Education)","System Administration","Somewhat familiar","Expert","Expert","Expert","Not at all familiar","Not at all familiar","Not at all familiar","Not at all familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);Hand-built tools to generate Prometheus metrics","None of the Above","The Prometheus Server","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","3","3","We don't have anything that wants to use OpenTelemetry instead of native Prometheus metrics.","No opinion due to no use.","histogram_quantile(0.95, rate(http_server_request_duration_seconds_bucket[5m]))","rate(robot_distance_traveled_millimeters_total[5m])","expr: timestamp(node_time_nanoseconds) - (1e-9 * node_time_nanoseconds) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","All dots should be changed to underscores when translating to Prometheus. That way, metric names match the format used by the rest of the Prometheus ecosystem."
"2024/05/12 9:46:05 AM AST","50-100","Technology","SRE","Expert","Somewhat familiar","Expert","Expert","Somewhat familiar","Somewhat familiar","Expert","Somewhat familiar","Prometheus Client Libraries;Prometheus exporters (e.g. node_exporter);OpenTelemetry Metric Client Libraries;OpenTelemetry Trace Client Libraries;OpenTelemetry auto-instrumentation agents","OpenTelemetry Language SDK Prometheus exporters;OpenTelemetry Collector Prometheus remote write exporter;Prometheus Client OTLP export.;Prometheus Server OTLP ingestion","The Prometheus Server;An open-source prometheus backend (Thanos, Cortex, Grafana Mimir, etc.);A Prometheus-compatible (or PromQL compatible) solution from a vendor;A backend not associated with Prometheus, not compatible with PromQL","PromQL;A vendor-specific query language (specify what under Other)","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert;Created or edited a recording rule","3","2","Determining if my metrics producer (application) has stopped sending metrics","Delta temporality support :) It would make interoperability between systems much easier","histogram_quantile(0.95, rate(http_server_request_duration_bucket[5m]))","rate(robot_distance_traveled[5m])","expr: timestamp(node_time) - (1e-9 * node_time) >  5","Units should generally not be added to metric names. Instead, units should be separate metadata, like the metric description. If you need to know the units for queries in alerts and dashboards, you will go look them up.","I wish OpenTelemetry had chosen to use underscores to match Prometheus syntactic requirements, I believe this decision should be revisited, it’s worth the time and breaking existing OTel users."
"2024/05/12 6:23:01 PM AST","0-50","Technology","DevOps","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Somewhat familiar","Not at all familiar","Not at all familiar","OpenTelemetry Metric Client Libraries;OpenTelemetry auto-instrumentation agents","None of the Above","The Prometheus Server","PromQL","Added a metric to an application;Configured collection or routing of metrics;Written a live (ad-hoc) query over metrics;Created or edited a dashboard for displaying metrics;Created or edited an alert","1","2","Instrumentation","Nothing","histogram_quantile(0.95, rate({""http.server.request.duration_seconds""}[5m]))","rate({""robot.distance.traveled""}[5m])","expr: timestamp({""node.time""}) - (1e-9 * {""node.time""}) >  5","Units should be required to be part of the metric name. Without them, it is hard to write proper queries, write or read alerts e.g. in YAML, and build dashboards.","All dots should be changed to underscores when translating to Prometheus. That way, metric names match the format used by the rest of the Prometheus ecosystem."
