Timestamp,How large is your engineering organization or department? ,What industry do you work in?,What type of team do you work on?,Do you work for an Observability or APM (monitoring) vendor?,Are you running OpenTelemetry in Production?,Where in your Observability journey is your organization?,Where did you get your day 1 information on getting started with OpenTelemetry? (Select all that apply),Do you use OpenTelemetry SDK directly or via vendor SDK of the languages you use?,What environments are you using the OpenTelemetry collector? (select all that apply),Which collector distribution do you use? ,What programming languages are you using with OpenTelemtery? (select all that apply),Which platforms are you running OpenTelemety on? (select all that apply),What kind of service do you regularly work on? (select all that apply),How complex was it to manually instrument your application with OpenTelemetry?,Did you encounter any issues when manually instrumenting your application?,How complex was it to get started with OpenTelemetry SDK? (skip if you don't use),Did you encounter any issues when installing OpenTelemetry SDK in your application? (select all that apply),How complex was it to get started with auto-instrumentation? (skip if you don't use),Did you encounter any issues when using auto-instrumentation in your application? (select all that apply),How complex was it to get started operating the OpenTelemetry Collector?,Did you encounter any issues when operating the OpenTelemetry Collector? (select all that apply or skip if you don't use a Collector),"What could be changed to improve the developer experience? For example:
- Installation of the SDK for the first time 
- Debugging instrumentation
- Setting up telemetry pipelines using the Collector
- Getting telemetry out of your application
- Configuring and using resource detectors
- Troubleshooting problems during SDK setup
- Configuring instrumentation
- Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
12/16/2024 19:25:38,50-100,Technology,other,Yes,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Custom OpenTelemetry SDK,Local,OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Python","Kubernetes, Bare metal",Operations/Infrastructure,3,Enriching auto-generated telemetry,3,Installing instrumentation libraries and plugins,2,Debugging,2,Documentation was unclear,Getting telemetry out of your application
12/16/2024 22:52:58,50-100,Advertisement,Developer,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,"Java, Python, Scala","Kubernetes, AWS, VMs","Browser, Backend",3,Documentation was unclear,2,Too many steps required,1,Disabling specific instrumentation libraries,1 (very easy),No issues,Integration of manual instrumentation with auto instrumentation. How they can work together.
12/17/2024 0:55:51,100-1000,Technology,SRE,No,Yes,Intermediate - We are setting up an Observability practice,GitHub,Official OpenTelemetry SDK,"Test/Staging, Production","Custom build, no ocb","Go, Java, Javascript/Typescript, Python","Kubernetes, AWS, Azure, GCP",Operations/Infrastructure,2,"Enriching auto-generated telemetry, Using Tracing API",3,"Configuring SDK, Installing instrumentation libraries and plugins",3,"Documentation was unclear, Disabling specific instrumentation libraries, Configuring SDK, Exporting data",3,Using OpenTelemetry Collector Transforming Language (OTTL),"Local testing should be easier, more straightforward and useful for actually troubleshooting issues without requiring much e.g. integration with IDEs"
12/17/2024 1:19:46,0-50,Media,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",I don’t know,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Java,VMs,Backend,4,"Documentation was unclear, Context Propagation, Configuring logging bridge",3,"Documentation was unclear, Debugging",2,"Documentation was unclear, Debugging",4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the extensions, Using OpenTelemetry Collector Transforming Language (OTTL)","First of all: I think OpenTelemetry is great and I try to use it wherever I can. The semantic conventions are very helpful.

But there are some issues I encountered:

* Sometimes it is diffucult to find the relevant documentation. I have to switch between the OTel website and the GitHub repository to find all information.

* It is confusing to have to many OTel Collector distributions. Also the versioning (1.0.0-RCx vs. 0.115.0 for example) is complicated. Why not build one distribution with all modules and only enable the needed modules via configuration?

* I miss concrete configuration examples for OTel Collector in production. For example how to make sure that no data is lost when the backend is not available.

* Suggestion: A collection of ready-to-use configuration snippets for logs of common applications would be helpful. Especially for unstructured logfiles or logs with non-standard named attributes. These snippets could parse the logs and also use attributes that follow the semantic conventions.

* Suggestion: An overview table of all semantic conventions names on one page. This could be helpful because it is searchable in the browser. Also user does not have to know the category."
12/17/2024 1:26:24,>1000,Technology,Developer,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,Go,"Kubernetes, AWS, Azure","Backend, Operations/Infrastructure",2,"Documentation was unclear, Context Propagation",3,"Configuring SDK, Debugging",,not using it,4,"Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions",improvements to debugging signals export from the SDK or collector
12/17/2024 1:35:08,50-100,Technology,Observability,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Javascript/Typescript","Kubernetes, AWS serverless environments (Lambda, Fargate, etc.)",Backend,3,"Documentation was unclear, Configuring resource detectors",4,"Documentation was unclear, Too many steps required",3,Installing instrumentation libraries,3,"Documentation was unclear, Configuring the processors, Using OpenTelemetry Collector Transforming Language (OTTL), Unclear when and why to set up multiple collectors for processing steps, order in which processors are configured can be very important","Especially when running in Kubernetes there is a lot of complexity to use auto-instrumention, even if the language supports dynamic loading of libraries like Java or .NET. 

The main problem is that to use the libraries they need to get loaded into the container, this either requires rebuilding images or changing the deployment.

The otel operator tries to help with this, but it can be too complicated to get started with in my experience. There are a lot of details in the auto-instrumentation getting started guide. For example, but it initially only links to a Github repository for the Instrumentation CRD to specify which pods need to be instrumented. Only when I scroll all the way down past all supported languages I find out this can also be done via an annotation.

Overall it can take a long time before a user sees value, no matter which Observability backend is used. It would be much better to document a setup process that has only a few steps (2 or 3) to get to some initial value (i.e. traces and metrics in the observability tool of choice) and from there refer to other resources to do all the customization.

Finally there is no clear best practices for anything. Some vendors document something for their tools, but most of the time every user needs to piece together the best setup from documentation spread over many documentation pages and Github repository READMEs. I doubt most users get to a good setup without a lot of trial and error."
12/17/2024 1:51:50,0-50,other,Developer,No,Yes,Intermediate - We are setting up an Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector core (otel/opentelemetry-collector),"Java, Javascript/Typescript",Kubernetes,Backend,4,Whole specification seems convoluted for newcomers,4,"Documentation was unclear, Too many steps required, Problems with understanding what is what",2,"Undestandaring what's going on - magic on top of magic layered with magic, autoregistered instrumentations, monkey patching and so on",2,Documentation was unclear,Something that's probably not possible - simplification of the spec
12/17/2024 4:03:25,>1000,other,Observability,Yes,No,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, GitHub",Custom OpenTelemetry SDK,"Local, Test/Staging",Custom build (ocb),"Go, Java, Python","Kubernetes, AWS, Azure, GCP",Backend,4,"Documentation was unclear, Using Tracing API, Using Metrics API, Configuring logging bridge, 1) Dual stack strategy mechanism on listening port on receiver 2) Example usage missing from documentation view on Jaegar remote sampling extension ",4,"Documentation was unclear, Installing instrumentation libraries and plugins, Debugging",4,Documentation was unclear,3,"Documentation was unclear, Configuring the receivers, Configuring the extensions, Configuring to export to vendor, 1) dual stack support on receivers 2) connection block on one exporter blocks other ",1) Documentation is not clear and not uniform 2) Troubleshooting problems during SDK setup 
12/17/2024 4:34:16,100-1000,Technology,Developer,Yes,No,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",Grafana Alloy,Go,"Kubernetes, AWS, Azure, GCP","Backend, Operations/Infrastructure",4,"Documentation was unclear, Configuring logging bridge",3,No,,Not using,,,Better ways to migrate from Jaeger to otel traces. Currently i have to reinstatement my whole app. Not cool.
12/17/2024 5:21:46,100-1000,Technology,Developer,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub, Vendor documentation",Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,Grafana Alloy,Go,"Kubernetes, AWS, Azure, GCP","Backend, Operations/Infrastructure",3,"Documentation was unclear, Using Metrics API",3,"Configuring SDK, Installing instrumentation libraries and plugins",,I haven't used auto-instrumentation,2,No issues,/
12/17/2024 5:41:56,100-1000,Technology,Developer,Yes,Yes,Expert - We have a well-established Observability practice,Vendor documentation,Vendor OpenTelemetry SDK,"Local, Test/Staging, Production",Grafana Alloy,Go,Kubernetes,Backend,3,Documentation was unclear,3,skip,,skip,1 (very easy),Using OpenTelemetry Collector Transforming Language (OTTL),Debugging the otel collector
12/17/2024 6:03:58,100-1000,Technology,Developer,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Vendor OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,Kubernetes,"Backend, Operations/Infrastructure",3,Documentation was unclear,3,Documentation was unclear,3,Documentation was unclear,3,Configuring the receivers,Improve the OTLP HTTP exporter to have dynamic number of concurrent requests (e.g. dynamic consumers from queue).
12/17/2024 6:12:18,100-1000,Technology,Developer,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,Kubernetes,Backend,3,"Documentation was unclear, Using Tracing API",3,Configuring SDK,,N/A,2,No issues,"Otel-go tracing API is difficult to discover, partially because of having too many packages that interact with each other."
12/17/2024 7:30:28,100-1000,Healthcare,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, GitHub, medium",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Python,AWS,Backend,4,"Documentation was unclear, Context Propagation, Using Tracing API, Using Metrics API",4,Configuring SDK,,Configuring SDK,4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Using OpenTelemetry Collector Transforming Language (OTTL)","It's a major pain to try and use OTEL for a language without a supported sdk in which case I found it easier to just use some other observability standard and sdk. When trying to set up OTEL tools the first time there should be a nice and simple way to just add it to an API route and see the result, it wouldn't be production ready but making it easier to get started allows for easier iterations and POC's."
12/17/2024 8:45:37,0-50,Technology,Sysadmin,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,Production,Grafana Alloy,"PHP, Python","Kubernetes, AWS","Backend, Operations/Infrastructure",2,Enriching auto-generated telemetry,2,Installing instrumentation libraries and plugins,2,Installing instrumentation libraries,2,No issues,- Simplify Opentelemetry extension like PHP
12/17/2024 10:31:50,>1000,Technology,DevOps,Yes,Yes,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,Production,Grafana Alloy,"Go, Javascript/Typescript",Kubernetes,Backend,4,too many parts embedded in the application instead of the platform,4,Too many steps required,2,Documentation was unclear,4,Configuring the connectors,Let my platform team own the pipeline. Why make every developer manage all of this complexity in exporting?
12/17/2024 10:36:47,0-50,other,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, Vendor documentation",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Javascript/Typescript, Python","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.)","Backend, Operations/Infrastructure",4,"Documentation was unclear, Context Propagation, Using Tracing API, Using Metrics API, metrics pre-1.0 to post-1.0",4,"Documentation was unclear, Configuring SDK",3,"Disabling specific instrumentation libraries, Installing instrumentation libraries",4,"Configuring the processors, Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)","1) More test tooling, e.g. verify that proper signals are being emit during unit tests; 2) making more of the 2nd order tools visible (e.g. resource detectors, I only stumbled upon them accidentally, the docs I originally read did not point them out as a tool); 3) FE / React tracing is pretty horrible; 4) more human-language examples of how to use/aggregate/display/monitor Metrics signals, especially for complex and/or distributed use-cases."
12/17/2024 11:27:54,50-100,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Javascript/Typescript,Kubernetes,"Backend, Operations/Infrastructure",3,Instrumenting with both otel and datadog during a transition was problematic,3,Installing instrumentation libraries and plugins,,n/a,3,"Configuring the processors, Lots of poking through github repos where components reside (otel-collector-contrib usually) not particularly hard. Quality depends on individual components","During the past 1-2 years that I have been using OTEL, the experience has gotten a lot better. The collector has gotten more stable. The distros are sort of nice, although if one mostly matches my use case but I need something from outside of it, then I can't use it. Overall I'm happy with the experience after getting through the learning curve. "
12/18/2024 5:46:07,0-50,Automotive,DevOps,No,No,Beginner - Learning about observability / Have used monitoring tools,OpenTelemetry Website,I don’t know,We don’t use the OpenTelemetry collector,OTel Collector-contrib (otel/opentelemetry-collector-contrib),Python,"VMs, Bare metal",Backend,5,Documentation was unclear,5,Documentation was unclear,5,"Documentation was unclear, Installing instrumentation libraries, Debugging",5 (very difficult),"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions",making it easier to use auto instrumentation and to test it/debug it
12/18/2024 7:51:12,0-50,Technology,Developer,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",I don’t know,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Python, Swift","Kubernetes, Bare metal",Backend,4,"Context Propagation, Using Tracing API, Using Metrics API, Configuring logging bridge",3,Exporting data,3,Exporting data,2,No issues,Too difficult to adopt OpenTelemery for all signals
12/18/2024 10:37:49,>1000,Technology,Observability,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector core (otel/opentelemetry-collector),Python,"Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), VMs","Browser, Backend, Operations/Infrastructure",3,Documentation was unclear,3,Documentation was unclear,3,Documentation was unclear,1 (very easy),Documentation was unclear,Debugging instrumentation
12/18/2024 11:47:44,0-50,other,Platform Engineering,No,Yes,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",Grafana Alloy,"C++, .NET, Go, Javascript/Typescript, Lua, Python, Ruby","Kubernetes, Azure, Azure serverless environments (Functions, Azure Container Apps, etc.)","Backend, Operations/Infrastructure",2,"Enriching auto-generated telemetry, Using Metrics API, Configuring logging bridge",2,"Installing instrumentation libraries and plugins, Debugging",2,Debugging,2,"Configuring to export to vendor, Using OpenTelemetry Collector Transforming Language (OTTL)","Debugging instrumentation 
"
12/18/2024 12:56:00,100-1000,Media,Platform Engineering,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub, Vendor documentation, Otel collector source code",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, PHP",Kubernetes,"Backend, Operations/Infrastructure",2,Sdk Vs API implementations e.g. Span have different interfaces ,2,Had some funky version conflicts in go ( or c#),1,None ,2,"Generally great experience, but the tail sampler docs were detailed but hard to grasp","I love that the model is the same across all languages, but do wish that api Vs ask split didn't exist, or at least the names given to API structures were different"
12/18/2024 13:32:47,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,Language implementation documentation page,Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,"Javascript/Typescript, PHP, Rust","GCP, platform.sh","Mobile, Browser, Backend, Operations/Infrastructure",4,"Documentation was unclear, Enriching auto-generated telemetry, Context Propagation, Using Tracing API, Using Metrics API",2,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins",2,"Documentation was unclear, Disabling specific instrumentation libraries, Installing instrumentation libraries",3,,The WP auto instrumentation could really be improved.
12/18/2024 13:34:18,100-1000,Technology,SRE,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",Custom build (ocb),"Go, Java, Python","Kubernetes, VMs, Bare metal","Backend, Operations/Infrastructure",3,"Enriching auto-generated telemetry, Context Propagation, Configuring logging bridge",3,Configuring SDK,3,Debugging,2,No issues,Troubleshooting problems during SDK setup
12/18/2024 13:34:54,>1000,Finance,SRE,No,Yes,Beginner - Learning about observability / Have used monitoring tools,Vendor documentation,Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java","Kubernetes, AWS serverless environments (Lambda, Fargate, etc.)","Backend, Operations/Infrastructure",5,"Documentation was unclear, Context Propagation",4,"Installing instrumentation libraries and plugins, Debugging",3,Documentation was unclear,3,Configuring to export to vendor,Manual instrumentation in golang
12/18/2024 13:37:13,>1000,Technology,Developer,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, LLMs",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector OTLP Distro (otel/opentelemetry-collector-otlp),"Javascript/Typescript, Ruby","Kubernetes, GCP, GCP serverless environment (Cloud Run Functions, etc.)","Mobile, Browser, Backend",4,"Documentation was unclear, Context Propagation",3,"Documentation was unclear, Installing instrumentation libraries and plugins, Debugging",2,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries",4,"Documentation was unclear, Configuring the processors, Configuring the connectors, Configuring to export to vendor","Clearer debugging story, better language specific documentation, explanations of core concepts written for mere mortal consumption. "
12/18/2024 22:29:22,0-50,Advertisement,Platform Engineering,No,Yes,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, Language implementation documentation page, Vendor documentation, Random blog articles ",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Erlang/Elixir, Javascript/Typescript","AWS, AWS serverless environments (Lambda, Fargate, etc.)","Backend, Operations/Infrastructure",2,"Documentation was unclear, Loss of context so traces didnt have a parent trace",3,Configuring SDK,2,"Disabling specific instrumentation libraries, Configuring SDK",3,Documentation was unclear,Troubleshooting and configuration for lambda
12/18/2024 23:37:03,100-1000,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Javascript/Typescript","Kubernetes, VMs","Browser, Backend, Operations/Infrastructure",3,"Configuring logging bridge, Configuring resource detectors",3,"Configuring SDK, Exporting data",1,"Disabling specific instrumentation libraries, Debugging",2,"Configuring the processors, Using OpenTelemetry Collector Transforming Language (OTTL)",Debugging can be simpler. More advanced processor need to be added. Reduced resource consumption by processors. 
12/19/2024 3:17:02,>1000,Technology,Observability,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Java, Python","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), Azure, Azure serverless environments (Functions, Azure Container Apps, etc.), GCP, GCP serverless environment (Cloud Run Functions, etc.), VMs, Bare metal","Backend, Operations/Infrastructure",3,"Enriching auto-generated telemetry, Context Propagation",3,"Configuring SDK, Installing instrumentation libraries and plugins",1,"Configuring SDK, Debugging",2,,n/a
12/19/2024 5:04:52,50-100,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"Language implementation documentation page, Vendor documentation",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Javascript/Typescript, PHP, Python","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.)","Backend, Operations/Infrastructure",2,Enriching auto-generated telemetry,3,Documentation was unclear,2,"Disabling specific instrumentation libraries, The sheer amount of data it is exposing by default",3,"Documentation was unclear, Configuring the extensions, Using OpenTelemetry Collector Transforming Language (OTTL)","From my side I think that having a more clear documentation would suffice. 
You can have examples both on GitHub and the OpenTelemetry website that when a user runs them (via docker compose for example), they have an environment that shows them Metrics (eg via Prometheus), Logs (eg via OpenSearch or Loki) and Traces (eg via Jaeger) on Grafana. Then, once they have that up and running, you can guide them through what they can change in the Collector to send them to different Telemetry backends, what they would need to configure to enable or disable an instrumentation library etc. 

I think that Grafana's blog post here with an interactive game is a good first step for many devs
https://grafana.com/blog/2024/11/20/metrics-logs-traces-and-mayhem-introducing-an-observability-adventure-game-powered-by-grafana-alloy-and-otel/"
12/19/2024 7:58:39,0-50,Media,Developer,No,Yes,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, Language implementation documentation page, GitHub, Vendor documentation",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),Javascript/Typescript,"Kubernetes, AWS","Browser, Backend, Operations/Infrastructure",3,"For me, the most challenging part was to find the correct documentation. I hadn't internalized how API and SDK separate responsibilities.",3,"Documentation was unclear, Configuring SDK, Getting something running was easy, but finding out which configuration would make sense for which environment or use case was more difficult.",3,"Debugging, JS module systems and order of requires.",2,"Configuring the processors, Debugging. Easily seeing input and output (whether process config is working as intended).","Maybe link more often to an overview for beginners giving, describing how everything works together (API, SDK, collector, ...) and where to go next for which cases. At the beginning, it's a bit difficult to know that you're to far down in the documentation. For example, if you've worked on setting up the SDK and want to manual instrumentation next, you first have to know that that's bot.happening in the SDK."
12/19/2024 13:33:36,100-1000,Finance,SRE,No,Yes,Intermediate - We are setting up an Observability practice,"GitHub, Vendor documentation",Official OpenTelemetry SDK,"Test/Staging, Production",Custom build (ocb),"Java, Python",Kubernetes,Operations/Infrastructure,1,Context Propagation,1,Conflicting trace implementation dependencies,1,Debugging,2,"Documentation was unclear, Configuring the processors, Configuring to export to vendor",Better documentation for Processors and scaling Exporters
12/19/2024 19:33:57,0-50,Finance,DevOps,No,No,Intermediate - We are setting up an Observability practice,Vendor documentation,Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector core (otel/opentelemetry-collector),".NET, Java, Python",VMs,Operations/Infrastructure,3,"Documentation was unclear, Using Tracing API, Using Metrics API, Configuring logging bridge",4,"Documentation was unclear, Installing instrumentation libraries and plugins",,Documentation was unclear,3,"Documentation was unclear, Configuring the receivers","There is too much branching documentation, and it takes forever to complete."
12/19/2024 23:16:03,>1000,Technology,SRE,Yes,No,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector core (otel/opentelemetry-collector),".NET, PHP",Kubernetes,"Browser, Backend, Operations/Infrastructure",4,"Documentation was unclear, Enriching auto-generated telemetry, Context Propagation, Using Tracing API, Using Metrics API",3,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data",3,"Documentation was unclear, Too many steps required, Disabling specific instrumentation libraries, Configuring SDK, Installing instrumentation libraries, Installing plugins, Debugging, Exporting data",3,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions",Documentation and profiling signals
12/20/2024 11:47:58,50-100,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub, Vendor documentation, Charity Majors",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Java, Javascript/Typescript","Kubernetes, AWS","Browser, Backend, Operations/Infrastructure",4,"Enriching auto-generated telemetry, Context Propagation, Baggage",4,"Debugging, Silently dropping data/attributes when limits hit",3,Overly verbose instrumentation libraries,4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the extensions","Observing the collector itself is confusing, and only Honeycomb had even a starting point for setting the whole thing up in a way where it had good defaults without completely overwhelming volume coming out. 

It’s way too hard to apply an attribute to all child spans of a trace. Very common use case and we ended up writing a bunch of iterations of custom processors to achieve it.

Debugging the collector is often a case of “deploy to staging and hope it worked” for us. "
12/23/2024 7:21:18,0-50,Hospitality,SRE,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,"Test/Staging, Production",Grafana Alloy,Javascript/Typescript,"Kubernetes, AWS","Mobile, Backend, Operations/Infrastructure",4,Configuring resource detectors,2,Too many steps required,1,Debugging,4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring the extensions",i dont want to have to configure instrumentation.js for nodejs environment 
12/23/2024 7:37:20,50-100,Manufacturing,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Javascript/Typescript","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), Bare metal","Backend, Operations/Infrastructure",3,"Enriching auto-generated telemetry, Context Propagation, Using Metrics API",4,"Configuring SDK, Debugging, Exporting data",2,Installing instrumentation libraries,3,No issues,Getting good local debugging output: being able to see traces/metrics locally easier without needing to set up a collector + grafana
12/23/2024 7:41:53,50-100,Travel & Leisure,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Vendor documentation",I don’t know,Production,Grafana Alloy,"Java, Kotlin","AWS serverless environments (Lambda, Fargate, etc.)",Backend,3,"Documentation was unclear, Enriching auto-generated telemetry, Using Tracing API",3,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins, Debugging",2,Disabling specific instrumentation libraries,3,"Documentation was unclear, Using OpenTelemetry Collector Transforming Language (OTTL)",Getting the right telemetry out of the box
12/23/2024 8:05:23,100-1000,Technology,Observability,Yes,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",I don’t know,Production,"This should be a checkbox, right? I use Alloy and contrib",Go,"Kubernetes, VMs, Bare metal","Backend, Operations/Infrastructure",5,I'm just using the Prometheus SDKs,5,"Too many steps required, Unfortunately I can't skip because all questions are required.",,I don't use it and can't skip because the questions is marked as required.,2,"No issues, It just takes a while to get used to the Pipeline concept. After that, it's super easy!",I come from the pull-based model. The hardest part is switching the mindset that push-based monitoring requires different kinds of instrumentation. I'm not sure if my difficulties has to do with the SDK itself.
12/23/2024 8:41:32,100-1000,Finance,SRE,No,Yes,Expert - We have a well-established Observability practice,"Language implementation documentation page, Vendor documentation, It was in place when I joined the org.",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-k8s (otel/opentelemetry-collector-k8s),Ruby,"Kubernetes, AWS","Backend, Operations/Infrastructure",4,"Enriching auto-generated telemetry, Context Propagation",4,"Installing instrumentation libraries and plugins, Debugging",2,"Disabling specific instrumentation libraries, Installing instrumentation libraries",3,,Knowing all the general otel concepts seems to be required in order to begin using otel. Can be a large barrier to entry 
12/23/2024 10:28:18,0-50,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Vendor OpenTelemetry SDK,We don’t use the OpenTelemetry collector,No OpenTelemetry collector,".NET, Javascript/Typescript","Kubernetes, Azure","Backend, Operations/Infrastructure",2,"Documentation was unclear, Context Propagation",3,N/a,,N/a,3,No issues,Configuring 
12/23/2024 13:57:40,100-1000,Technology,Observability,Yes,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"C++, Go, Python, Rust","Kubernetes, VMs",Operations/Infrastructure,4,"Documentation was unclear, Context Propagation, Using Tracing API, Using Metrics API",3,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins",3,"Documentation was unclear, Disabling specific instrumentation libraries, Configuring SDK",3,"Configuring the extensions, Using OpenTelemetry Collector Transforming Language (OTTL)","Keep doc updated and examples, configs in examples should always be complete not only focus on a given processor, Receiver or exporter"
